설치위치,세부위치,위도,경도
화곡1동,나누리병원 16-199,37.53682654,126.8364507
화곡1동,나누리병원 16-200,37.53717865,126.8362927
화곡1동,까치산역 16-192,37.53223863,126.8461928
화곡1동,화곡역.현대주유소 16-205,37.54064792,126.8409451
화곡3동,화곡중고등학교16-211,37.54717968,126.8361316
등촌3동,호서전문학교16-222,37.562662,126.839755
등촌3동,KT가양지사16-223,37.56489336,126.8404735
등촌3동,한국가스공사16-109,37.55816464,126.8439052
등촌1동,골프장16-558,37.55862474,126.8571485
화곡4동,목동사거리16-179,37.53163377,126.8636088
등촌3동,등촌동대림아파트16-265,37.56440514,126.848394
등촌3동,마포고등학교16-136,37.55955916,126.8541936
등촌1동,경복여상 앞16-137,37.55752808,126.8534483
등촌3동,경복여고16-138,37.55766284,126.853122
화곡본동,폴리텍대학16-144,37.54584327,126.8447321
화곡본동,화곡시장16-146,37.54334348,126.8432514
화곡1동,화곡역에이스정형외과16-147,37.54103075,126.8388542
화곡3동,화곡역에이스정형외과16-148,37.54087787,126.8371073
화곡1동,화곡푸르지오16-149,37.54011144,126.8354477
화곡본동,제일성심병원16-341,37.54712167,126.8459178
등촌3동,그랜드마트 정류장앞16-337,37.55967839,126.8391468
화곡1동,화원중학교버스정류장(16-202),37.537977,126.840433
화곡1동,황외과앞버스정류장(16-190),37.531011,126.837824
화곡1동,서울특별시 강서구한방병원버스정류장(16-328),37.53012593,126.8390315
화곡1동,화곡동유림아파트버스정류장(16-188),37.530479,126.844302
화곡2동,서울신정초등학교버스정류장(16-182),37.53111563,126.853087
화곡4동,화곡동남부시장버스정류장(16-180),37.53183633,126.8588539
화곡4동,목동사거리버스정류장(16-178),37.53276273,126.8635117
화곡8동,까치산역2번출구(16-191),37.53177067,126.8468456
화곡2동,성석교회(16-181),37.53151222,126.8575906
화곡2동,서울신정초등학교(16-183),37.5308544,126.8524357
화곡8동,화곡8동주민센터.까치산시장(16-185),37.53058851,126.8488201
화곡1동,KT서울특별시 강서구지사(16-186),37.52997229,126.8475167
화곡1동,화곡동유림아파트(16-189),37.53030144,126.8442552
화곡1동,화곡동백구사(16-193),37.53258371,126.8427421
화곡1동,화곡동대림아파트(16-195),37.53309827,126.838757
등촌1동,서울특별시 강서구소방서.이마트.증미역(16256),37.55723078,126.8617195
화곡1동,월정로 134 황외과 앞 버스정류장,,
등촌3동,서울디지털대학교 버스정류장(16-008),37.55523558,126.8540843
화곡4동,목동사거리 버스정류장(16-178),37.53276273,126.8635117
등촌3동,베뉴지웨딩홀 버스정류장(16-969),37.55970501,126.8390115
등촌3동,SBS공개홀 버스정류장(16-262),37.5636591,126.849849
등촌1동,가양역 현대프린스텔 버스정류장(16-257),37.56021961,126.8563498
등촌1동,등촌삼거리,37.551321,126.863853
등촌1동,정보화진흥공단,37.55356,126.861406
등촌1동,하이웨이주유소건너,37.55556979,126.8540033
등촌3동,가양역9번출구,37.561306,126.854452
화곡1동,"화곡역5,6번출구쪽",37.541406,126.840304
화곡3동,"화곡역7,8번출구쪽",37.541389,126.840309
화곡1동,가로공원로 192 사거리 횡단보도,37.537025,126.837094
화곡1동,가로공원로 237 화곡터널입구교차로 횡단보도,37.53862,126.84234
화곡1동,가로공원로 215 가로공원공영주차장 횡단보도,37.53768,126.839855
화곡4동,등촌로 41 서울특별시 강서구농협 앞,37.533697,126.863505
화곡본동,서울특별시 강서구로 134 건널목,37.538994,126.842275
화곡1동,월정로 176 월정초등학교 앞,37.535046,126.836236
