"동별(1)","동별(2)",항목,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4
"동별(1)","동별(2)",항목,합계,합계,합계,합계,합계,합계,합계,합계
"강서구","염창동",계,41063,42025,42478,42579,42421,42259,42077,42017
"강서구","등촌1동",계,23666,23595,23720,23717,23692,23769,24053,24338
"강서구","등촌2동",계,22039,21970,21922,21868,21707,21576,21500,21216
"강서구","등촌3동",계,33075,32929,32715,32506,32267,32208,31928,31660
"강서구","화곡본동",계,36297,36127,36064,35918,35791,35553,35255,34981
"강서구","화곡2동",계,19948,19795,19655,19487,19257,19119,18897,18727
"강서구","화곡3동",계,22816,22675,22698,22710,22548,22306,22172,21938
"강서구","화곡4동",계,22517,22297,22175,22044,21902,21758,21598,21413
"강서구","화곡6동",계,25000,25067,24930,25118,25196,25405,25321,25133
"강서구","화곡8동",계,26846,26798,26593,26509,26304,26155,25880,25674
"강서구","가양1동",계,33804,34090,34199,34154,34147,34187,34515,34540
"강서구","가양2동",계,15562,15413,15301,15140,15032,14961,14782,14588
"강서구","가양3동",계,16467,16445,16277,16199,16101,15976,15778,15583
"강서구","발산1동",계,38736,38619,38559,38507,38458,38288,37880,37530
"강서구","공항동",계,28713,28527,28336,28261,28129,28016,27748,27627
"강서구","방화1동",계,46148,45982,45847,45668,45464,45279,44888,44550
"강서구","방화2동",계,24417,24354,24203,24051,23942,23771,23519,23442
"강서구","방화3동",계,24775,24673,24582,24467,24286,24130,23811,23577
"강서구","화곡1동",계,54698,54801,54681,54562,54449,54160,53761,53380
"강서구","우장산동",계,46299,46048,45305,44808,44610,44327,44173,43987
