동,쓰레기배출량,연도
가양1동,619.78,2019
가양2동,299.09,2019
가양3동,4.82,2019
공항동,13.98,2019
김포공항내,64.75,2019
등촌1동,20.21,2019
등촌2동,13.11,2019
등촌3동,264.23,2019
마곡동,70.84,2019
마곡지구,94.53,2019
발산1동,1218.46,2019
방화1동,792.87,2019
방화2동,648.77,2019
방화3동,422.29,2019
염창동,29.18,2019
우장산동,545.73,2019
화곡1동,1088.77,2019
화곡2동,579.11,2019
화곡3동,404.79,2019
화곡4동,378.63,2019
화곡6동,459.49,2019
화곡8동,195.14,2019
화곡본동,861.22,2019
업체혼합,353.38,2019
가양1동,1348.17,2020
가양2동,602.41,2020
가양3동,186.29,2020
공항동,45.69,2020
김포공항내,7.23,2020
등촌1동,28.63,2020
등촌2동,52.0,2020
등촌3동,109.63,2020
마곡동,26.4,2020
마곡지구,5.29,2020
발산1동,2684.3,2020
방화1동,1315.63,2020
방화2동,1057.18,2020
방화3동,552.88,2020
염창동,91.29,2020
우장산동,1532.67,2020
화곡1동,5894.88,2020
화곡2동,1862.25,2020
화곡3동,1061.68,2020
화곡4동,1370.68,2020
화곡6동,1676.46,2020
화곡8동,739.44,2020
화곡본동,2763.78,2020
업체혼합,2633.72,2020
